School,City,Address,Phone,Email,Website,Notes
10th Planet Fort Worth,Fort Worth,"5364 Wedgmont Circle N, Fort Worth, TX 76133",,10pfortworth@gmail.com,https://www.10thplanetfortworth.com,
3 Embers Grappling Academy,McKinney,"320 Industrial Blvd Ste 206, McKinney, TX 75069",214-973-8506,info@3embersjiujitsu.com,https://www.3embersgrapplingacademy.com,
4 Korners Jiu-Jitsu,Frisco,"8155 Custer Rd Ste 300, Frisco, TX 75035",480-847-2782,4kornersbjj@gmail.com,https://www.4kbjj.com,
5 Elements Studio - Jiu-Jitsu & Fitness,Dallas,"2613 N Carroll Ave, Dallas, TX 75204",214-940-3445,contact@5elementsstudio.com,https://5elementsstudio.com,
Abdias Brazilian Jiu-Jitsu,Dallas,"900 E Clarendon Dr #170, Dallas, TX 75203",469-503-3299,contact@abdiasbjj.com,https://www.bushidostrength.com,
Academy of Champions HQ (ACJJ Team),Dallas,"14225 Inwood Rd, Dallas, TX (verify ZIP)",682-556-7300,academyofchampionshq@gmail.com,https://www.acjjteam.com,
Aces Jiu Jitsu Club (Fort Worth location),Fort Worth,"906 Pennsylvania Ave, Fort Worth, TX 76104",512-730-1161,helpdesk@acesjiujitsuclub.com,https://acesjiujitsuclub.com,Email is org-wide contact.
Alex Martins Brazilian Jiu-Jitsu Academy,Dallas,"427 W Commerce St, Dallas, TX 75208",806-570-6579,alexmartinsbjjmartialarts@gmail.com,https://alexmartinsbrazilianjiujitsu.com,
Alliance BJJ Fort Worth,Fort Worth,"9140 North Fwy Ste 316A, Fort Worth, TX 76177",682-600-2032,info@alliancejjfw.com,https://alliancejjfw.com,
Alliance Jiu Jitsu Dallas,Dallas,"1901 Royal Ln Suite 109, Dallas, TX 75229",469-718-9191,,https://alliancejiujitsudallas.com,
Argyle Jiu Jitsu Academy,Argyle,"811C Stonecrest Rd, Argyle, TX 76226",940-391-2042,info.argylejiujitsu@gmail.com,https://www.facebook.com/argylejiujitsu/,
Boon Martial Arts,Dallas,"5757 W Lovers Ln Suite 217, Dallas, TX 75209",214-352-5425,info@boonmma.com,https://www.boonmma.com,
